Cruise,year,month,day,D/N,tow,net,ID,Station,Latitude,Longitude,yrday_local,hhmm,flow,vol_filt,min_press,max_press,temp,sal,max depth,min depth,CTD used,avg. t,avg sal,avg fluor,max fluor,avg o2,avg PAR,DIC(umol/kg),TA_final(umolkg-1),Si_um/kg ,pH_corr(2),PO4_um/kg,NO2+NO3 (um/kg),uM NH4
OC473,2011,8,13,N,5,5,5.05,5,36.8919,-52.0059,226.022222,32,100,537.5,98.9,199,18.21853957,36.54902158,200,100,509,18.20606634,36.58585743,0.08540099,0.08540099,201.0717525,0.427315842,2107.125683,2399.04428,2.345118918,7.985679727,0.106983761,3.088209477,0.363728565
OC473,2011,8,13,N,5,6,5.06,5,36.8872,-52.0049,226.028681,41.3,79,425.1,50,98.6,19.72479091,36.52096364,100,50,509,19.41226275,36.57611765,0.519154902,0.519154902,215.1892353,16.28647059,2100.138238,2396.465104,1.719466613,7.954700786,0,1.097667959,0.952229368
OC473,2011,8,13,N,5,7,5.07,5,36.8831,-52.0044,226.033796,48.67,62,347.1,26.7,49.9,24.17927174,36.37397826,50,25,509,23.17237308,36.36623077,0.139680769,0.139680769,215.3035385,114.2115385,2054.433686,2386.942236,1.079864612,8.06835817,0,0,0.852260929
OC473,2011,8,13,N,5,8,5.08,5,36.8798,-52.0039,226.038067,54.82,68,399.4,1.4,26.2,25.84603738,36.2572243,25,0,509,25.89752727,36.15044091,0.057427273,0.057427273,198.1438636,270.0454545,2045.029667,2378.479388,1.268414556,8.077873819,0,0,0.650324683
OC473,2011,8,13,N,5,9,5.09,5,36.8761,-52.0035,226.043032,101.97,7,54.4,1.3,2.2,26.02278571,36.18428571,0,0,509,26.1694,36.2337,0.0617,0.0617,196.714,1E-12,2045.029667,2378.479388,1.268414556,8.077873819,0,0,0.650324683
OC473,2011,8,15,N,6,0,6,8,38.5111,-51.9615,227.015937,22.95,355,2426.8,2.1,1011.1,16.36694754,36.03980407,1000,0,817,14.81349629,35.96070431,0.052462387,0.052462387,174.217324,48.175461,2097.579139,2377.253214,3.854914219,7.965359454,0.222906025,4.726596396,0.42332635
OC473,2011,8,15,N,6,1,6.01,8,38.4803,-51.9526,227.05934,125.45,167,938.1,799.4,1000.7,8.052821012,35.09379377,1000,800,817,7.294919403,35.0928995,0.022035323,0.022035323,173.2646219,1E-12,2173.912091,2319.950895,14.1062823,7.692211115,1.172076233,19.74777857,0.349419683
OC473,2011,8,15,N,6,2,6.02,8,38.4733,-51.9566,227.071285,142.65,215,1054.4,601.5,798.6,12.49018819,35.57425461,800,600,817,11.32488955,35.45176169,0.016675622,0.016675622,143.6415622,1E-12,2159.614516,2341.584648,9.775994594,7.78188322,0.847181037,16.1526595,0.151717101
OC473,2011,8,15,N,6,3,6.03,8,38.4656,-51.9626,227.083866,200.77,267,1088.9,405.7,600.4,16.40122711,36.22665568,600,400,817,15.77897164,36.14558159,0.008278607,0.008278607,176.5399502,1E-12,2126.76675,2372.002872,3.722289485,7.920826586,0.249258387,7.183902072,0.318252856
OC473,2011,8,15,N,6,4,6.04,8,38.4583,-51.9687,227.096551,219.03,310,1240.5,201,405.4,18.01462783,36.53672492,400,200,817,17.93968458,36.5354592,0.004423881,0.004423881,193.3773831,0.010142349,2105.488268,2390.487822,2.216518671,7.981976232,0.067490389,2.994042666,0.405402009
OC473,2011,8,15,N,6,5,6.05,8,38.451,-51.9773,227.110914,239.716,156,644.4,101.7,200.3,18.98045342,36.58053416,200,100,817,19.54826931,36.64775149,0.075028713,0.075028713,181.8297723,1.584584158,2105.010602,2398.278796,1.985333494,7.991218664,0.065463906,2.23509259,0.05286581
OC473,2011,8,15,N,6,6,6.06,8,38.4473,-51.982,227.118391,250.483,72,323.6,51.5,101.2,21.67238272,36.57764198,100,50,817,22.8639,36.76628627,0.59185098,0.59185098,180.0791961,63.11647059,2073.617082,2392.78947,1.651507345,8.037626381,0,0,0.5758382
OC473,2011,8,15,N,6,7,6.07,8,38.4455,-51.9847,227.122153,255.9,46,232.8,22.9,50.9,24.99106557,36.22585246,50,25,817,25.44730769,36.4019,0.142684615,0.142684615,193.9323077,547.7307692,2042.07509,2374.463613,2.023600468,8.072486029,0.03611762,0,0.87075509
OC473,2011,8,15,N,6,8,6.08,8,38.4442,-51.9869,227.124988,259.983,44,243.1,1.5,23.3,26.03444444,36.14212698,25,0,817,26.26245,36.14410455,0.056036364,0.056036364,195.1679091,1431.590909,2029.490774,2374.708101,2.075523042,8.087439161,0.024078413,0,0.665986405
OC473,2011,8,15,N,6,9,6.09,8,38.4434,-51.9896,227.127917,304.2,6,38.3,1.4,3.1,26.16855556,36.15255556,0,0,817,26.1694,36.2337,0.0617,0.0617,196.714,1E-12,2029.523623,2377.106802,1.960253132,8.086925025,0,0,0.630830838
OC473,2011,8,15,D,7,0,7,8,38.5028,-51.8999,227.383009,911.533,521,3554.2,2.5,1007.5,15.10795199,35.93116848,1000,0,817,14.81349629,35.96070431,0.052462387,0.052462387,174.217324,48.175461,2097.579139,2377.253214,3.854914219,7.965359454,0.222906025,4.726596396,0.42332635
OC473,2011,8,15,D,7,1,7.01,8,38.5362,-51.8457,227.434838,1026.167,276,1314.9,801.3,1001.9,7.676339943,35.0619915,1000,800,817,7.294919403,35.0928995,0.022035323,0.022035323,173.2646219,1E-12,2173.912091,2319.950895,14.1062823,7.692211115,1.172076233,19.74777857,0.349419683
OC473,2011,8,15,D,7,2,7.02,8,38.5447,-51.8284,227.451238,1049.783,222,1076.3,600.7,801.2,11.77311498,35.47350871,800,600,817,11.32488955,35.45176169,0.016675622,0.016675622,143.6415622,1E-12,2159.614516,2341.584648,9.775994594,7.78188322,0.847181037,16.1526595,0.151717101
OC473,2011,8,15,D,7,3,7.03,8,38.552,-51.8137,227.464572,1108.984,216,1067.5,401.5,599.9,15.88333094,36.13107914,600,400,817,15.77897164,36.14558159,0.008278607,0.008278607,176.5399502,1E-12,2126.76675,2372.002872,3.722289485,7.920826586,0.249258387,7.183902072,0.318252856
OC473,2011,8,15,D,7,4,7.04,8,38.5591,-51.7985,227.477488,1127.583,245,1186.3,201,400.6,17.9689868,36.51527393,400,200,817,17.93968458,36.5354592,0.004423881,0.004423881,193.3773831,0.010142349,2105.488268,2390.487822,2.216518671,7.981976232,0.067490389,2.994042666,0.405402009
OC473,2011,8,15,D,7,5,7.05,8,38.5672,-51.7811,227.491562,1147.849,125,590.5,100.9,200.3,19.47496667,36.58632,200,100,817,19.54826931,36.64775149,0.075028713,0.075028713,181.8297723,1.584584158,2105.010602,2398.278796,1.985333494,7.991218664,0.065463906,2.23509259,0.05286581
OC473,2011,8,15,D,7,6,7.06,8,38.571,-51.7723,227.49853,1157.883,94,471,51.6,100.2,22.92790984,36.72969672,100,50,817,22.8639,36.76628627,0.59185098,0.59185098,180.0791961,63.11647059,2073.617082,2392.78947,1.651507345,8.037626381,0,0,0.5758382
OC473,2011,8,15,D,7,7,7.07,8,38.5743,-51.7648,227.504201,1206.049,86,495.1,22.4,51.6,25.45766418,36.33515672,50,25,817,25.44730769,36.4019,0.142684615,0.142684615,193.9323077,547.7307692,2042.07509,2374.463613,2.023600468,8.072486029,0.03611762,0,0.87075509
OC473,2011,8,15,D,7,8,7.08,8,38.5762,-51.7559,227.510428,1215.016,34,245.2,1.9,22,26.18987143,36.07475714,25,0,817,26.26245,36.14410455,0.056036364,0.056036364,195.1679091,1431.590909,2029.490774,2374.708101,2.075523042,8.087439161,0.024078413,0,0.665986405
OC473,2011,8,15,D,7,9,7.09,8,38.5747,-51.754,227.513681,1219.701,3,23.5,2.2,2.9,26.30283333,36.10333333,0,0,817,26.1694,36.2337,0.0617,0.0617,196.714,1E-12,2029.523623,2377.106802,1.960253132,8.086925025,0,0,0.630830838
OC473,2011,8,17,N,8,0,8,13,40.8834,-51.9873,229.952384,2251.433,440,2918.6,1.6,1014.2,14.19931841,35.78627162,1000,0,1324,13.13398596,35.77952106,0.067755767,0.067755767,185.9117803,1E-12,2113.361216,2369.344931,5.314419776,7.922580008,0.278656035,7.620671178,0.417158795
OC473,2011,8,17,N,8,1,8.01,13,40.854,-52.0264,229.998183,2357.384,115,613.1,895.8,999.4,5.193012121,34.91473333,1000,900,1324,5.471918812,34.97960891,0.021619802,0.021619802,221.1879901,1E-12,2176.317697,2319.19422,14.19985425,7.689440986,1.031348423,21.32279961,0.918049528
OC473,2011,8,17,N,8,2,8.02,13,40.8494,-52.031,230.005868,8.4,272,1300.2,600.8,895.5,8.013967836,35.08561696,900,600,1324,8.266590033,35.13582425,0.022753821,0.022753821,164.7648638,1E-12,2176.395747,2328.511472,13.26531378,7.712603889,1.011885219,21.61495268,0.607146191
OC473,2011,8,17,N,8,3,8.03,13,40.84,-52.0433,230.021748,31.32,273,1358.2,399.4,600.3,13.45533429,35.68424207,600,400,1324,13.8978194,35.80928209,0.013748259,0.013748259,180.1313284,1E-12,2144.073332,2347.511518,7.876373839,7.831338788,0.54802218,14.11355512,0.636208672
OC473,2011,8,17,N,8,4,8.04,13,40.8307,-52.0546,230.03787,54.53,238,1151.2,200.7,398.6,17.24458621,36.39942759,400,200,1324,17.26620945,36.43863532,0.014469652,0.014469652,196.3260995,1E-12,2117.028388,2378.812993,3.90101806,7.944277856,0.122542028,6.474517161,0.344959394
OC473,2011,8,17,N,8,5,8.05,13,40.8232,-52.0647,230.051354,113.95,105,507.4,101.1,200.4,18.09211628,36.5214186,200,100,1324,18.10138119,36.5551396,0.089739604,0.089739604,194.7505347,1E-12,2106.793883,2395.220078,2.798582666,7.983017588,0.088150891,3.6825931,0.268185724
OC473,2011,8,17,N,8,6,8.06,13,40.8201,-52.0694,230.05735,122.58,74,365.3,51.2,100.5,19.19776596,36.5515,100,50,1324,19.33464314,36.59834314,0.738633333,0.738633333,185.5887451,1E-12,2100.888764,2399.75143,2.53118011,7.993064905,0.017864312,2.19271624,0.234856204
OC473,2011,8,17,N,8,7,8.07,13,40.8179,-52.0729,230.061713,128.87,48,253.6,26.4,50.6,21.13315385,36.42947692,50,25,1324,21.85969615,36.31606154,0.193615385,0.193615385,209.5399231,1E-12,2062.472908,2383.660953,2.073611529,8.037077379,0,0.073405376,0.288191491
OC473,2011,8,17,N,8,8,8.08,13,40.8163,-52.0755,230.064734,133.22,58,347.8,5.6,26.4,23.57164211,35.92670526,25,0,1324,23.64956818,35.95665455,0.088268182,0.088268182,205.0877727,1E-12,2031.985309,2358.0347,1.741837544,8.058671939,0,0,0.256455221
OC473,2011,8,17,N,8,9,8.09,13,40.8147,-52.0794,230.069144,139.57,11,81.9,2.3,6.5,23.93972222,35.87161111,0,0,1324,26.1694,36.2337,0.0617,0.0617,196.714,1E-12,2029.58241,2354.606936,1.648964786,8.05838789,0,0,0.060253649
OC473,2011,8,18,D,9,0,9,13,40.9291,-52.0703,230.218843,515.134,432,3019.5,1.7,1009.5,13.78727615,35.69537606,1000,0,1323,12.65664493,35.703966,0.055924173,0.055924173,188.2754183,1E-12,2113.361216,2369.344931,5.314419776,7.922580008,0.278656035,7.620671178,0.417158795
OC473,2011,8,18,D,9,1,9.01,13,40.9543,-52.0392,230.26816,626.15,165,900.1,801.5,1001.3,5.659116466,34.96426908,1000,800,1323,5.820341791,35.02813632,0.018205473,0.018205473,209.8293035,1E-12,2171.720115,2319.19422,14.19985425,7.689440986,1.031348423,21.32279961,0.918049528
OC473,2011,8,18,D,9,2,9.02,13,40.9615,-52.0329,230.279734,642.817,246,1152,601.2,801.3,8.534077441,35.10223569,800,600,1323,8.424180597,35.15032139,0.020082587,0.020082587,158.5811045,1E-12,2176.395747,2328.511472,13.26531378,7.712603889,1.011885219,21.61495268,0.607146191
OC473,2011,8,18,D,9,3,9.03,13,40.9715,-52.024,230.29353,702.683,308,1263.9,401.6,600.7,13.1242044,35.64925157,600,400,1323,12.91928209,35.65576866,0.012566667,0.012566667,181.7124975,1E-12,2144.073332,2347.511518,7.876373839,7.831338788,0.54802218,14.11355512,0.636208672
OC473,2011,8,18,D,9,4,9.04,13,40.9827,-52.0147,230.30831,723.966,322,1196.2,201.5,400.9,16.73517532,36.29700649,400,200,1323,16.47139154,36.27185672,0.00921194,0.00921194,192.7367512,1E-12,2117.028388,2378.812993,3.90101806,7.944277856,0.122542028,6.474517161,0.344959394
OC473,2011,8,18,D,9,5,9.05,13,40.9935,-52.0055,230.322616,744.567,232,944.7,102.2,200.7,18.01936626,36.51972428,200,100,1323,18.21247723,36.58466535,0.092556436,0.092556436,198.0594356,1E-12,2106.793883,2395.220078,2.798582666,7.983017588,0.088150891,3.6825931,0.268185724
