Cruise_moc_net,Cruise,year,month,day,D_N,tow,net,ID,station,Latitude,Longitude,yrday_local,hhmm,flow,vol_filt,min_press,max_press,temp,sal,max depth,min depth,CTD used,avg. t,avg sal,avg fluor,max fluor,avg o2,avg PAR,DIC(umol/kg),TA_final(umolkg-1),Si_um/kg ,pH_corr(2),PO4_um/kg,NO2+NO3 (um/kg),uM NH4
OC473_m10_n5,OC473,2011,8,19,N,10,5,10.05,17,43.0715,-47.7175,231.972593,2320.534,133,608.1,101.9,201.4,2.58729220779221,34.1063766233766,200,100,1730,2.90668613861386,34.0595940594059,0.0645960396039604,0.0645960396039604,282.830871287129,0.000000000001,2138.71467745251,2286.55332945497,8.93905392818335,7.72838203441899,0.620527824317741,11.0339701897333,0.872069368421055
OC473_m10_n6,OC473,2011,8,19,N,10,6,10.06,17,43.0793,-47.7101,231.979745,2330.833,74,382.5,48.5,102.3,2.13540404040404,33.4941313131313,100,50,1730,1.32855490196078,33.3227098039216,0.379705882352941,0.379705882352941,315.95368627451,0.000000000001,2119.12695443124,2278.64846348464,6.51936067837384,7.76418452320634,0.504761690489235,7.94729726257876,1.04398070175439
OC473_m10_n7,OC473,2011,8,19,N,10,7,10.07,17,43.0845,-47.7048,231.984352,2337.467,35,185.7,24.2,47.7,3.70178,32.7328,50,25,1730,2.96728076923077,32.8584653846154,2.72976923076923,2.72976923076923,335.992423076923,0.000000000001,2063.32206946923,2228.49739198368,3.76371443999299,7.79706389090578,0.242782773013297,2.57872718324338,1.31886754385965
OC473_m10_n8,OC473,2011,8,19,N,10,8,10.08,17,43.0872,-47.7022,231.986667,2340.8,73,397.2,-1.8,24.3,13.1981509433962,32.1486226415094,25,0,1730,13.2466727272727,32.3158272727273,0.904909090909091,0.904909090909091,278.925136363636,0.000000000001,1989.98470774309,2202.48531303068,1.47025766536908,7.90847757837705,0.0870117148583363,0,1.19888947368421
OC473_m10_n9,OC473,2011,8,19,N,10,9,10.09,17,43.0925,-47.696,231.991597,2347.9,3,23.7,-1.8,-1,17.4825714285714,32.0475714285714,0,0,1730,26.1694,36.2337,0.0617,0.0617,196.714,0.000000000001,1956.58940010398,2183.62421406537,1.32176701935341,7.93191967425832,0.120309115046593,0,0.95804210526316
OC473_m11_n0,OC473,2011,8,20,D,11,0,11,17,43.1032,-47.6398,232.210926,503.733,191,1476.4,1.6,1011.5,5.72342237442922,34.5855627853881,1000,0,1731,4.39194353059177,34.64018445336,0.146907723169509,0.146907723169509,262.52725777332,0.000000000001,2120.51556086488,2284.35350921407,9.14938699708132,7.74337040228662,0.607538253489886,11.8500971686975,1.00803436057096
OC473_m11_n1,OC473,2011,8,20,D,11,1,11.01,17,43.0904,-47.6117,232.251632,602.35,162,1043.5,800.3,999,4.19378025477707,34.8920605095542,1000,800,1731,4.17930099502487,34.9295417910448,0.0208577114427861,0.0208577114427861,262.853343283582,0.000000000001,2138.19372633571,2309.22376805651,12.6675683733932,7.71678134561916,0.748626573485206,19.0001821459069,0.702558212461696
OC473_m11_n2,OC473,2011,8,20,D,11,2,11.02,17,43.0862,-47.6027,232.266215,623.35,156,923.6,598.4,799.8,4.55753159851301,34.9186840148699,800,600,1731,4.48354278606965,34.9485845771145,0.022518407960199,0.022518407960199,257.176338308458,0.000000000001,2137.48187762455,2311.77101947291,11.6620279848235,7.71617039547108,0.778892350726589,16.3680184179984,0.522338356420503
OC473_m11_n3,OC473,2011,8,20,D,11,3,11.03,17,43.0821,-47.5952,232.278715,641.35,178,1064.4,400,598,5.09527062706271,34.9348382838284,600,400,1731,4.84763980099503,34.9525412935323,0.0228492537313433,0.0228492537313433,250.492870646766,0.000000000001,2149.464996832,2309.83898891795,11.9008404839001,7.71180203243335,0.791305146740065,16.3499601822712,1.0474885380117
OC473_m11_n4,OC473,2011,8,20,D,11,4,11.04,17,43.0775,-47.5876,232.292789,701.616,187,1006,200.8,399.4,5.24097069597069,34.6472344322344,400,200,1731,4.8090815920398,34.7871432835821,0.0310189054726368,0.0310189054726368,243.587064676617,0.000000000001,2150.95329429199,2301.79481236785,12.2173356593666,7.69122824943183,0.798769159647312,15.7279347342367,1.26847675438597
